episode,frame,x_ego,x_other_1,x_other_2,x_other_3,x_other_4,y_ego,y_other_1,y_other_2,y_other_3,y_other_4,vx_ego,vx_other_1,vx_other_2,vx_other_3,vx_other_4,vy_ego,vy_other_1,vy_other_2,vy_other_3,vy_other_4,throttle,braking,steering,d_left_1,d_right_1,d_left_2,d_right_2
1200,0,-7.512606620788574,45.96580123901367,14.557169914245604,-10.803058624267578,-34.56785202026367,207.3999938964844,207.3999938964844,204.1999969482422,203.8999938964844,203.8000030517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5999938964843636,1.9000061035156364,5.099993896484364,1.9000061035156364
1200,1,-7.512606620788574,45.96579360961914,14.557169914245604,-10.803058624267578,-34.56785202026367,207.3999938964844,207.3999938964844,204.1999969482422,203.8999938964844,203.8000030517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5999938964843636,1.9000061035156364,5.099993896484364,1.9000061035156364
1200,2,-7.512606620788574,45.96628952026367,14.55761432647705,-10.803058624267578,-34.56785202026367,207.3999938964844,207.3998565673828,204.199951171875,203.8999938964844,203.8000030517578,0.0,0.0002009054587688,-0.0014729239046573,0.0,0.0,0.0,-0.0101158386096358,-0.0045588300563395,0.0,0.0,0.699999988079071,0.0,0.5307977199554443,1.5999938964843636,1.9000061035156364,5.099993896484364,1.9000061035156364
1200,3,-7.51161527633667,45.97310256958008,14.55937957763672,-10.80268669128418,-34.56747817993164,207.40011596679688,207.4008026123047,204.1998748779297,203.8999938964844,203.8000030517578,0.00074597512139,-0.0023258274886757,0.0008800876094028,0.0,0.0,-0.0369972139596939,-0.0058904960751533,-0.0050229327753186,0.0,0.0,0.699999988079071,0.0,-0.0294653326272964,1.6001159667968636,1.8998840332031364,5.100115966796864,1.8998840332031364
1200,4,-7.511647701263428,45.97252655029297,14.559197425842283,-10.800368309020996,-34.56513214111328,207.3999938964844,207.4005584716797,204.19981384277344,203.89938354492188,203.80001831054688,-3.664422547444701e-05,-0.001220577978529,-0.0005733192665502,6.875954568386078e-05,5.912609412916936e-05,0.0049940315075218,0.0057556675747036,0.0014498587697744,0.0001636212982703,0.0001752912066876,0.699999988079071,0.0,-0.2038521766662597,1.5999938964843636,1.9000061035156364,5.099993896484364,1.9000061035156364
1200,5,-7.511585712432861,45.97213745117188,14.55894374847412,-10.800718307495115,-34.56548309326172,207.39964294433597,207.4004821777344,204.19981384277344,203.8990173339844,203.79962158203125,-0.0001197217861772,-0.0005545517778955,-0.0002331731229787,-0.0002956502721644,-0.0002946276799775,0.0092293471097946,0.0036490347702056,0.0014217582065612,0.0002431526663713,0.000246283103479,0.699999988079071,0.0,-0.0053738807328045,1.599642944335926,1.9003570556640736,5.099642944335926,1.9003570556640736
1200,6,-7.511556148529053,45.97197341918945,14.558834075927734,-10.800976753234863,-34.56573867797852,207.39964294433597,207.4004821777344,204.19993591308597,203.89881896972656,203.79942321777344,-6.295500497799367e-05,-0.0002016964572248,-9.532735566608608e-05,-0.0002570509095676,-0.0002634671400301,0.005280218552798,0.0014931256882846,0.0006265569827519,0.0017334311269223,0.0017272045370191,0.699999988079071,0.0,0.0012791499029845,1.599642944335926,1.9003570556640736,5.099642944335926,1.9003570556640736
1200,7,-7.511543273925781,45.971923828125,14.558786392211914,-10.80109691619873,-34.565860748291016,207.399658203125,207.40049743652344,204.1999053955078,203.89892578125,203.79954528808597,-2.5033245037775487e-05,-7.52018386265263e-05,-4.120374796912074e-05,-0.0001101313901017,-0.0001129108859458,0.0021798401139676,0.0005744943046011,-2.8497835955931805e-05,0.0007128526922315,0.0007072403095662,0.699999988079071,0.0,0.0026181600987911,1.5996582031249886,1.9003417968750116,5.099658203124989,1.9003417968750116
1200,8,-7.511538028717041,45.9719123840332,14.558772087097168,-10.8011474609375,-34.56591033935547,207.39947509765625,207.40045166015625,204.1998748779297,203.89889526367188,203.79953002929688,-8.766604878474027e-06,-3.437995837884955e-05,-1.6417270671809092e-05,-4.492210427997634e-05,-4.6137422032188624e-05,0.0001915968314278,-1.421648539690068e-05,-4.150438326178119e-05,0.0003155969898216,0.0003131447010673,0.699999988079071,0.0,0.0030980857554823,1.5994750976562386,1.9005249023437611,5.099475097656239,1.9005249023437611
1200,9,-7.51153564453125,45.9719123840332,14.55876636505127,-10.801164627075195,-34.56592559814453,207.3994140625,207.40042114257807,204.19985961914065,203.8988800048828,203.7995147705078,-2.9835825898771877e-06,-2.1174102585064247e-05,-6.706142357870704e-06,-1.7840020518633537e-05,-1.776389399310574e-05,3.871780791087076e-05,-5.067062829766655e-06,-1.7452743122703396e-05,-4.735576658276841e-05,-4.752112363348715e-05,0.699999988079071,0.0,0.0031619116198271,1.5994140624999886,1.9005859375000116,5.099414062499989,1.9005859375000116
1200,10,-7.511534214019775,45.9719123840332,14.558764457702637,-10.801170349121094,-34.5659294128418,207.3994140625,207.40040588378903,204.19985961914065,203.89886474609372,203.7994842529297,-9.71868530541542e-07,-1.7145872334367596e-05,-2.698859816518961e-06,-7.227192327263765e-06,-7.213579010567628e-06,5.055731435277266e-06,-1.8975138118548784e-06,-7.38315929993405e-06,-2.003567169595044e-05,-2.0020544980070557e-05,0.699999988079071,0.0,0.0031908701639622,1.5994140624999886,1.9005859375000116,5.099414062499989,1.9005859375000116
1200,11,-7.511534214019775,45.9719123840332,14.55876350402832,-10.801173210144045,-34.56593322753906,207.3994140625,207.40040588378903,204.19985961914065,203.89886474609372,203.7994842529297,-3.139527962048305e-07,-1.5920995792839676e-05,-1.0875718317038263e-06,-2.9220075248304056e-06,-2.929013135144487e-06,-5.942706593486946e-07,-7.754412649774167e-07,-3.0907560812920565e-06,-8.396934390475508e-06,-8.387673915422056e-06,0.699999988079071,0.0,0.0031812053639441,1.5994140624999886,1.9005859375000116,5.099414062499989,1.9005859375000116
1200,12,-7.511534214019775,45.9719123840332,14.55876350402832,-10.80117416381836,-34.56593322753906,207.3994140625,207.40040588378903,204.19985961914065,203.89886474609372,203.7994842529297,-1.5517363749495416e-07,-1.5560537576675415e-05,-4.45402207560619e-07,-1.200731958306278e-06,-1.177783360617468e-06,-8.08479228453507e-07,-3.774242998133559e-07,-1.2910351188111235e-06,-3.5207747259846656e-06,-3.5132441098539857e-06,0.699999988079071,0.0,0.0031720171682536,1.5994140624999886,1.9005859375000116,5.099414062499989,1.9005859375000116
